Feature,Importance_Mean,Importance_Std
L4_payload_length_1,0.07124719224903975,0.0020211647340525095
L4_payload_length_3,0.05974342366589368,0.0006515166401971984
L4_payload_length_0,0.057131663080056905,0.0016772912154479336
TCP_win_size_1,0.05696516221829477,0.001243814315901686
L4_payload_length_4,0.05528793356616413,0.0015883691314540547
iat_micros_1,0.05119098931975359,0.001161893495286016
L4_payload_length_2,0.04243371021511942,0.0009537911089508958
TCP_win_size_3,0.03751539918996481,0.0025957718011062154
L4_payload_length_5,0.03497559762007627,0.0007489349878268105
iat_micros_4,0.031485005942904945,0.0005358980989368638
L4_payload_length_6,0.031363164282320874,0.0007045007640259891
iat_micros_5,0.028057943839838784,0.00046563609123365183
iat_micros_2,0.027934471033336284,0.0004885685294666107
TCP_win_size_4,0.026818980909000097,0.0013248616303341049
L4_payload_length_7,0.02654054304993596,0.000618186410531507
L4_payload_length_8,0.02601782538637206,0.0004472929694351516
iat_micros_7,0.0246081717995569,0.0009436904931359578
TCP_win_size_2,0.02431446814532016,0.0009516210171441016
iat_micros_6,0.02413293398052881,0.0006194357207126831
iat_micros_8,0.02400105299638097,0.00045517821832410476
iat_micros_3,0.023807093702340555,0.0005644578997811461
TCP_win_size_0,0.022810732137084476,0.0004118908008868846
L4_payload_length_9,0.02193994466578752,0.0003326870900503921
iat_micros_9,0.02116773940996611,0.0007621523171105336
TCP_win_size_5,0.019886943244149365,0.0007915949407357997
TCP_win_size_8,0.01826046621709591,0.0006880534619426594
TCP_win_size_6,0.018200413164468344,0.0004517392779282986
TCP_win_size_7,0.017600954320322652,0.0007594626948203395
TCP_win_size_9,0.016672950630445885,0.0006456341667969601
packet_dir_1,0.01201822253000885,0.0005528299915667303
packet_dir_3,0.007136939283030104,0.0003721941257444602
packet_dir_4,0.0068317665773720586,0.0005114936027757804
packet_dir_2,0.006312360106806884,0.0005829691703111122
packet_dir_5,0.006227886485237751,0.0002854559188661396
packet_dir_7,0.004547484017613567,0.00018936982458035047
packet_dir_6,0.004407609476970624,0.00025297184883827745
packet_dir_9,0.004157819863132656,0.00015041066170051677
packet_dir_8,0.004152944830246264,0.00030295444195792303
packet_dir_0,0.0020940968480613184,0.00014622991601290723
iat_micros_0,0.0,0.0
