fold,f1_ID,bal_acc_ID,f1_OOD_or_JD,bal_acc_OOD_or_JD,Taxonomy
1,77.57520826963248,76.9073210445821,57.30414957316011,58.37426095574389,OOD
2,76.09296721627423,75.34475192021016,57.338473479562666,58.44575531251807,OOD
3,79.23514142272619,78.59280782529218,57.48450993294063,58.494278752037424,OOD
4,75.54061323862479,74.82363725973215,57.47231577474724,58.61587870101269,OOD
5,75.92674963495897,75.33604108874317,57.61848365169927,58.70276821589678,OOD
