fold,f1_ID,bal_acc_ID,f1_OOD_or_JD,bal_acc_OOD_or_JD,Taxonomy
1,78.69413405192441,78.03262568551,94.88868468655014,94.63608367456735,ID
2,80.84416397628253,80.13629671851228,95.20485616994154,94.96654127143354,ID
3,80.88085862422949,80.35069258802152,95.20327092366895,95.00688204998391,ID
4,80.10199377567565,79.331356345501,95.0640826137369,94.79977599470877,ID
5,79.65595542621273,79.40497710730244,95.21308480195991,95.11250394698139,ID
