fold,f1_ID,bal_acc_ID,f1_OOD_or_JD,bal_acc_OOD_or_JD,Taxonomy
1,92.14859029920106,92.41395942419123,79.80045273127705,80.70915358121374,OOD
2,91.74494986809434,91.3822291536824,79.82673220765706,80.44262119200074,OOD
3,92.03990254245069,92.01631649829339,79.40652547710772,80.17617113788114,OOD
4,91.20559353387131,91.06844965751655,80.81006840456865,81.64298364826385,OOD
5,90.41106841740323,90.60536240816116,79.81802809547764,80.90394176304162,OOD
