Feature,Packet,Importance
L4_payload,1,0.05927387498480925
iat_micros,1,0.0
packet_dir,1,0.0011704239278590295
TCP_win_size,1,0.04887163896699195
L4_payload,2,0.12931136923971087
iat_micros,2,0.10694185474061554
packet_dir,2,0.014104778936230373
TCP_win_size,2,0.24660233870237738
L4_payload,3,0.08041629538949853
iat_micros,3,0.02469308834152142
packet_dir,3,0.012544222550363655
TCP_win_size,3,0.11550915097593602
L4_payload,4,0.1218803122459926
iat_micros,4,0.03759620985023499
packet_dir,4,0.018276817588765166
TCP_win_size,4,0.16614173651299327
L4_payload,5,0.08000138321321348
iat_micros,5,0.04267003779416154
packet_dir,5,0.02208910705381209
TCP_win_size,5,0.11627372687306839
L4_payload,6,0.05066481371127942
iat_micros,6,0.04009113828742696
packet_dir,6,0.00964263914316854
TCP_win_size,6,0.05217496692647272
L4_payload,7,0.03298299100399893
iat_micros,7,0.02729762993759881
packet_dir,7,0.008559824459986052
TCP_win_size,7,0.047690162416956804
L4_payload,8,0.028709159724293165
iat_micros,8,0.025877957496709698
packet_dir,8,0.004095104107909953
TCP_win_size,8,0.015279130297476112
L4_payload,9,0.034303916768208
iat_micros,9,0.008849586138344606
packet_dir,9,0.004638725832054698
TCP_win_size,9,0.04155263924823103
L4_payload,10,0.028072977750949423
iat_micros,10,0.020383887790341816
packet_dir,10,0.004272093834325896
TCP_win_size,10,0.04508201721504421
L4_payload,11,0.013203407540745957
iat_micros,11,0.017017340445985456
packet_dir,11,0.0037529979966325288
TCP_win_size,11,0.024239715235190328
L4_payload,12,0.011641107670165147
iat_micros,12,0.012145056785191686
packet_dir,12,0.0034645707644589824
TCP_win_size,12,0.013337242149181677
L4_payload,13,0.008068510228034977
iat_micros,13,0.007751344952758631
packet_dir,13,0.001303295753991519
TCP_win_size,13,0.015237593050707505
L4_payload,14,0.007932960947141075
iat_micros,14,-0.009789541123635753
packet_dir,14,0.0014571393033824653
TCP_win_size,14,0.015964783877289293
L4_payload,15,0.007908311951237531
iat_micros,15,0.0050050021791617745
packet_dir,15,0.002497955946024934
TCP_win_size,15,0.0052427704540074175
L4_payload,16,0.006081600290272556
iat_micros,16,0.004915572530723719
packet_dir,16,0.001687161823752874
TCP_win_size,16,0.0006390510229311303
L4_payload,17,0.005492076952282361
iat_micros,17,0.0036392453302802968
packet_dir,17,0.0023437444633006054
TCP_win_size,17,0.006500824294296932
L4_payload,18,0.006034816627076561
iat_micros,18,0.004993912385172586
packet_dir,18,0.0020945808286946047
TCP_win_size,18,-0.011141711284829253
L4_payload,19,0.006298427777927761
iat_micros,19,0.00474908407765238
packet_dir,19,0.001235177076162439
TCP_win_size,19,0.004528016752725816
L4_payload,20,0.0071477673859976845
iat_micros,20,0.006206592058824569
packet_dir,20,0.001928804721288284
TCP_win_size,20,0.007412729645267688
