fold,f1_home,bal_acc_home,f1_univr,bal_acc_univr
1,0.9234622010818297,0.9173789196213986,0.8406290778298892,0.8418140449656565
2,0.9322206961522423,0.9304769205379666,0.8370280481878295,0.8395468191339335
3,0.9396588640562297,0.9334577247808082,0.8412405473463648,0.8433472339379888
4,0.9363821042455422,0.9326078211183386,0.840922769454786,0.8408370032820937
5,0.9352091583482233,0.9345249530037155,0.840914490195131,0.8423316493035019
