fold,f1_ID,bal_acc_ID,f1_OOD_or_JD,bal_acc_OOD_or_JD,Taxonomy
1,92.14998883343767,92.41116833546008,98.20654386392646,98.3419349187566,ID
2,92.73991750331709,92.80097109531079,98.12112816243962,98.2946025234007,ID
3,92.76198123519852,92.7334395142489,98.16533673975313,98.31535274501255,ID
4,91.73062222810968,91.42569363699225,98.03354744398321,98.04985310821152,ID
5,90.8516004555888,91.09572217500934,97.7602790897464,97.95611843307358,ID
