fold,f1_Internal,bal_acc_Internal,f1_External,bal_acc_External
1,0.9231625750893225,0.9171111820042633,0.8406032822526845,0.8417307378003627
2,0.9325278198841388,0.9309143658573016,0.8371624794065318,0.8396751035808325
3,0.939624005131599,0.9333340369926122,0.8412948558771712,0.8432526681108702
4,0.9365801775541959,0.932804826634493,0.8411212357537731,0.8409965408837278
5,0.9352091583482233,0.9345249530037155,0.8410960673898659,0.8424634990529495
