fold,acc_home,acc_univr
1,0.9528866287765481,0.8476740365206779
2,0.9510918336823213,0.848800638407736
3,0.9469039784624589,0.8527906867577336
4,0.9425665569847442,0.8464066093977374
5,0.9533353275501047,0.8527906867577336
