Fold,Feature,Packet,Importance
0,L4_payload,1,0.08971900775713948
0,iat_micros,1,0.0
0,packet_dir,1,0.00044372788852342637
0,TCP_win_size,1,0.09349981029663468
0,L4_payload,2,0.2005527557375899
0,iat_micros,2,0.05018169568029407
0,packet_dir,2,0.001203750121021585
0,TCP_win_size,2,0.353149618381849
0,L4_payload,3,0.03425304410393437
0,iat_micros,3,0.03608662783335603
0,packet_dir,3,0.00011114853214166942
0,TCP_win_size,3,0.0522480152285425
0,L4_payload,4,0.18062904971884564
0,iat_micros,4,0.0392219789664523
0,packet_dir,4,-3.960192498198012e-05
0,TCP_win_size,4,0.16815809877698484
0,L4_payload,5,0.15011373544166418
0,iat_micros,5,0.033115308064225246
0,packet_dir,5,3.154561454721261e-05
0,TCP_win_size,5,0.0659562829978313
0,L4_payload,6,0.1509090211839066
0,iat_micros,6,0.02969146855866711
0,packet_dir,6,0.001141316108260071
0,TCP_win_size,6,0.04823407500680332
0,L4_payload,7,0.060197526457159256
0,iat_micros,7,0.012851362176661496
0,packet_dir,7,-0.00017078841119655408
0,TCP_win_size,7,0.033031557890353724
0,L4_payload,8,0.03709595741474914
0,iat_micros,8,0.011951893398872926
0,packet_dir,8,0.0007906093278506887
0,TCP_win_size,8,0.038462133172288304
0,L4_payload,9,0.05776237232021231
0,iat_micros,9,0.02589087504975396
0,packet_dir,9,0.0002464339377183933
0,TCP_win_size,9,0.019386397659218346
0,L4_payload,10,0.022565434236639703
0,iat_micros,10,0.024437006873995415
0,packet_dir,10,-7.483107856387505e-05
0,TCP_win_size,10,0.016961810797511134
0,L4_payload,11,0.03467387846012571
0,iat_micros,11,0.013188774772061151
0,packet_dir,11,4.3585762796283234e-05
0,TCP_win_size,11,0.04438653886245447
0,L4_payload,12,0.012074731992470333
0,iat_micros,12,0.0074480272319306096
0,packet_dir,12,6.755068534403108e-05
0,TCP_win_size,12,0.010530744152674743
0,L4_payload,13,0.012331371315667639
0,iat_micros,13,0.0028798728872061474
0,packet_dir,13,9.910011067404412e-05
0,TCP_win_size,13,0.008736476986086927
0,L4_payload,14,-0.0019618655505837523
0,iat_micros,14,0.000671406520268647
0,packet_dir,14,0.00020331265204731608
0,TCP_win_size,14,0.01674413724686019
0,L4_payload,15,-0.0025653316361058387
0,iat_micros,15,0.003823183727945434
0,packet_dir,15,0.0001278861836908618
0,TCP_win_size,15,0.009307004720540135
0,L4_payload,16,0.0008806672858554521
0,iat_micros,16,0.003660401062006713
0,packet_dir,16,-2.510477315809112e-06
0,TCP_win_size,16,0.011091701999703218
0,L4_payload,17,0.005201049310926464
0,iat_micros,17,0.0016383585707444581
0,packet_dir,17,5.5944347877812106e-05
0,TCP_win_size,17,0.003535385168106586
0,L4_payload,18,0.01413957764452789
0,iat_micros,18,0.012622789437955362
0,packet_dir,18,-6.478724299086025e-05
0,TCP_win_size,18,0.004143721255786659
0,L4_payload,19,0.006910097812578897
0,iat_micros,19,0.0019651365000754595
0,packet_dir,19,1.3641429177368991e-05
0,TCP_win_size,19,0.007520825086430705
0,L4_payload,20,0.0029106268093528342
0,iat_micros,20,0.007288370972673874
0,packet_dir,20,8.158499440469313e-07
0,TCP_win_size,20,0.006851650178759883
1,L4_payload,1,0.05461814455247804
1,iat_micros,1,0.0
1,packet_dir,1,0.00016062099075497827
1,TCP_win_size,1,0.10499471654975423
1,L4_payload,2,0.19819262571036234
1,iat_micros,2,0.036139861156698316
1,packet_dir,2,5.426045117928879e-05
1,TCP_win_size,2,0.31709565878554713
1,L4_payload,3,0.03165375842490903
1,iat_micros,3,0.020682930301063607
1,packet_dir,3,0.000981139924533636
1,TCP_win_size,3,0.03763586249533546
1,L4_payload,4,0.1619058951473562
1,iat_micros,4,0.026196082200840465
1,packet_dir,4,7.414167521346826e-05
1,TCP_win_size,4,0.17902226682781475
1,L4_payload,5,0.1643738125658274
1,iat_micros,5,0.04761339392462105
1,packet_dir,5,0.0011642822846624767
1,TCP_win_size,5,0.08660834212059854
1,L4_payload,6,0.11515008268179372
1,iat_micros,6,0.03739409671516114
1,packet_dir,6,0.0013401475098362425
1,TCP_win_size,6,0.052495239896416024
1,L4_payload,7,0.07181472498450603
1,iat_micros,7,0.019789124408362113
1,packet_dir,7,0.00015117817019927315
1,TCP_win_size,7,0.027446978349871642
